YEAR;MONTH;UNEMPLOYED;GENDER;AGEGROUP
2005;1;129581;M;LESS25
2005;2;128872;M;LESS25
2005;3;127518;M;LESS25
2005;4;122455;M;LESS25
2005;5;116784;M;LESS25
2005;6;117422;M;LESS25
2005;7;112901;M;LESS25
2005;8;115702;M;LESS25
2005;9;123027;M;LESS25
2005;10;129430;M;LESS25
2005;11;133641;M;LESS25
2005;12;133009;M;LESS25
2006;1;135602;M;LESS25
2006;2;134131;M;LESS25
2006;3;131880;M;LESS25
2006;4;123307;M;LESS25
2006;5;114966;M;LESS25
2006;6;110984;M;LESS25
2006;7;106366;M;LESS25
2006;8;109373;M;LESS25
2006;9;112784;M;LESS25
2006;10;117179;M;LESS25
2006;11;120064;M;LESS25
2006;12;117711;M;LESS25
2007;1;120081;M;LESS25
2007;2;118488;M;LESS25
2007;3;116271;M;LESS25
2007;4;112844;M;LESS25
2007;5;106916;M;LESS25
2007;6;109643;M;LESS25
2007;7;106153;M;LESS25
2007;8;110876;M;LESS25
2007;9;114058;M;LESS25
2007;10;114303;M;LESS25
2007;11;120504;M;LESS25
2007;12;123887;M;LESS25
2008;1;134062;M;LESS25
2008;2;138904;M;LESS25
2008;3;140441;M;LESS25
2008;4;146095;M;LESS25
2008;5;149047;M;LESS25
2008;6;154716;M;LESS25
2008;7;155705;M;LESS25
2008;8;164466;M;LESS25
2008;9;182190;M;LESS25
2008;10;204397;M;LESS25
2008;11;222161;M;LESS25
2008;12;228947;M;LESS25
2009;1;244871;M;LESS25
2009;2;259578;M;LESS25
2009;3;270642;M;LESS25
2009;4;269139;M;LESS25
2009;5;260543;M;LESS25
2009;6;246764;M;LESS25
2009;7;237511;M;LESS25
2009;8;237506;M;LESS25
2009;9;251950;M;LESS25
2009;10;260868;M;LESS25
2009;11;263429;M;LESS25
2009;12;257982;M;LESS25
2010;1;261648;M;LESS25
2010;2;270709;M;LESS25
2010;3;273811;M;LESS25
2010;4;268881;M;LESS25
2010;5;259230;M;LESS25
2010;6;245236;M;LESS25
2010;7;234122;M;LESS25
2010;8;233809;M;LESS25
2010;9;245385;M;LESS25
2010;10;251282;M;LESS25
2010;11;253012;M;LESS25
2010;12;240459;M;LESS25
2011;1;247331;M;LESS25
2011;2;258868;M;LESS25
2011;3;265810;M;LESS25
2011;4;257128;M;LESS25
2011;5;246255;M;LESS25
2011;6;234351;M;LESS25
2011;7;228374;M;LESS25
2011;8;225021;M;LESS25
2011;9;243520;M;LESS25
2011;10;255154;M;LESS25
2011;11;260972;M;LESS25
2011;12;248928;M;LESS25
2012;1;256919;M;LESS25
2012;2;270469;M;LESS25
2012;3;273898;M;LESS25
2012;4;268901;M;LESS25
